UID        PID  PPID  C STIME TTY          TIME CMD
admin     5858  5394  0 Aug17 ?        00:00:00 /usr/libexec/gsd-xsettings
admin     5861  5394  0 Aug17 ?        00:00:00 /usr/libexec/gsd-sound
admin     5862  5394  0 Aug17 ?        00:00:00 /usr/libexec/gsd-sharing
admin     5863  5394  0 Aug17 ?        00:00:00 /usr/libexec/gsd-smartcard
admin     5864  5394  0 Aug17 ?        00:18:50 /usr/libexec/gsd-account
admin     5880  5394  0 Aug17 ?        00:00:00 /usr/libexec/gsd-a11y-keyboard
admin     5881  5394  0 Aug17 ?        00:00:00 /usr/libexec/gsd-a11y-settings
admin     5882  5394  0 Aug17 ?        00:00:00 /usr/libexec/gsd-clipboard
admin     5883  5394  0 Aug17 ?        00:01:41 /usr/libexec/gsd-color
admin     5884  5394  0 Aug17 ?        00:00:00 /usr/libexec/gsd-datetime
admin     5886  5394  0 Aug17 ?        00:00:18 /usr/libexec/gsd-housekeeping
admin     5888  5394  0 Aug17 ?        00:00:00 /usr/libexec/gsd-keyboard
admin     5889  5394  0 Aug17 ?        00:00:00 /usr/libexec/gsd-media-keys
admin     5909     1  0 Aug17 ?        00:00:00 /usr/libexec/gsd-printer
admin     5944  5394  0 Aug17 ?        00:00:11 nautilus-desktop --force
admin     5958     1  0 Aug17 ?        00:00:04 /usr/libexec/gvfsd-trash --spawn
admin     5982     1  0 Aug17 ?        00:00:00 /usr/libexec/evolution-calendar-
admin     5992     1  0 Aug17 ?        00:06:07 /usr/bin/vmtoolsd -n vmusr
admin     5993  5394  0 Aug17 ?        00:00:00 /usr/bin/seapplet
admin     6002  5394  0 Aug17 ?        00:00:11 /usr/libexec/tracker-extract
admin     6007  5394  0 Aug17 ?        00:00:00 /usr/libexec/tracker-miner-user-
admin     6013  5394  0 Aug17 ?        00:00:00 /usr/libexec/tracker-miner-apps
admin     6023     1  0 Aug17 ?        00:00:06 /usr/libexec/tracker-store
admin     6025  5394  0 Aug17 ?        00:00:03 /usr/libexec/tracker-miner-fs
admin     6033  5394  0 Aug17 ?        00:00:28 /usr/bin/gnome-software --gappli
admin     6069  5394  0 Aug17 ?        00:00:00 abrt-applet
admin     6144  5689  0 Aug17 ?        00:00:00 /usr/libexec/ibus-engine-simple
admin     6155  5982  0 Aug17 ?        00:00:00 /usr/libexec/evolution-calendar-
admin     6188  5982  0 Aug17 ?        00:00:00 /usr/libexec/evolution-calendar-
admin     6189     1  0 Aug17 ?        00:00:00 /usr/libexec/evolution-addressbo
admin     6221  6189  0 Aug17 ?        00:00:00 /usr/libexec/evolution-addressbo
admin     6233     1  0 Aug17 ?        00:00:00 /usr/libexec/gvfsd-metadata
admin     9638     1  0 10:15 ?        00:00:03 /usr/libexec/gnome-terminal-serv
admin     9652  9638  0 10:15 ?        00:00:00 gnome-pty-helper
admin     9653  9638  0 10:15 pts/0    00:00:00 bash
root     12103     2  0 14:10 ?        00:00:00 [kworker/3:2]
postfix  12473  2082  0 14:24 ?        00:00:00 pickup -l -t unix -u
admin    12594  9638  0 10:17 pts/1    00:00:00 bash
root     13144     2  0 14:25 ?        00:00:00 [kworker/0:2]
root     13232     2  0 14:25 ?        00:00:00 [kworker/u8:2]
root     13715     2  0 13:42 ?        00:00:00 [kworker/2:0]
root     14069     2  0 14:11 ?        00:00:00 [kworker/u8:3]
admin    14323     1  0 09:35 ?        00:00:00 /usr/libexec/gvfsd-network --spa
admin    14501     1  0 09:35 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawn
admin    14826     1  0 09:35 ?        00:00:00 /home/admin/Desktop/eclipse/ecli
admin    14850 14826  2 09:35 ?        00:08:47 /usr/bin/java -Dosgi.requiredJav
root     15574     1  0 13:13 ?        00:00:05 opmantek.pl webserver           
root     15712     2  0 14:26 ?        00:00:00 [kworker/3:0]
root     15734 15574  0 13:14 ?        00:00:00 opmantek.pl webserver           
root     15735 15574  0 13:14 ?        00:00:00 opmantek.pl webserver           
root     15736 15574  0 13:14 ?        00:00:00 opmantek.pl webserver           
root     15737 15574  0 13:14 ?        00:00:00 opmantek.pl webserver           
root     15738 15574  0 13:14 ?        00:00:00 opmantek.pl webserver           
root     15739 15574  0 13:14 ?        00:00:00 opmantek.pl webserver           
root     15740 15574  0 13:14 ?        00:00:00 opmantek.pl webserver           
root     15741 15574  0 13:14 ?        00:00:00 opmantek.pl webserver           
root     15742 15574  0 13:14 ?        00:00:00 opmantek.pl webserver           
